UID,Name,Frei_MVA,Belegt_MVA,Breite,Länge,Bundesland,Betreiber,Kontakt,Webseite,Wind_ms,Solar_kWh
10,UW Oberpullendorf,0.0,9.0,47.49493,16.48933,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,20.21,1353.3
11,UW Pama**,0.0,7.0,48.03926,17.02613,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,22.97,1350.1
12,UW Pinkafeld,0.0,6.0,47.36144,16.12345,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,11.21,1344.9
13,UW Rotenturm,0.0,8.0,47.25145,16.27604,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,15.75,1359.5
14,UW Stegersbach,1.0,8.0,47.17326,16.1829,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,13.55,1353.8
15,UW Steinbrunn**,0.0,3.0,47.81914,16.43677,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,20.89,1344.1
16,UW Wimpassing**,0.0,2.0,47.90509,16.45205,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,21.42,1345.0
17,UW Zurndorf*,0.0,18.0,47.93765,16.99346,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,23.3,1357.5
18,UW Auen,31.18,4.02,46.595263,13.859782,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.43,1313.3
19,UW Außerfragant,0.0,0.96,46.934582,13.110602,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.74,1383.9
20,UW Bleiburg,0.0,9.03,46.628568,14.78507,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.7,1344.0
21,UW Brückl,36.57,6.95,46.733716,14.525265,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.55,1339.6
22,UW Ettendorf,0.0,0.0,46.673213,14.95704,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,8.24,1347.2
23,UW Feldkirchen,11.47,2.13,46.719941,14.090979,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.04,1326.9
24,UW Ferlach,0.0,6.53,46.529037,14.297984,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,5.97,1330.0
25,UW Forstsee,20.59,0.9,46.622624,14.073347,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.55,1317.6
26,UW Freibach,0.0,1.22,46.559342,14.483149,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.4,1332.5
27,UW Fürnitz,6.35,0.85,46.557731,13.816997,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.43,1313.3
28,UW Gailitz,0.0,0.58,46.561202,13.694565,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.82,1308.7
29,UW Gmünd,0.0,8.04,46.91312,13.53682,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,5.96,1319.1
30,UW Gummern,0.0,3.44,46.651753,13.789856,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.75,1307.8
31,UW Gurk,0.0,8.43,46.878331,14.302962,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,8.62,1322.2
32,UW Hermagor,8.77,0.53,46.628787,13.379924,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.67,1299.0
33,UW Innerfragant,0.0,0.0,46.976889,13.051855,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.36,1412.8
34,UW Kamering,0.0,27.82,46.739671,13.59371,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.84,1312.2
35,UW Klagenfurt,0.0,9.3,46.60611,14.320275,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.6,1337.7
36,UW Kleinkirchheim,0.0,0.39,46.810567,13.77178,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.65,1315.9
37,UW Koralpe,0.0,45.6,46.634057,14.955949,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,8.24,1347.2
38,UW Landskron,32.47,2.02,46.631087,13.892654,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.84,1313.1
39,UW Lassendorf,15.96,9.84,46.667206,14.420761,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.63,1337.8
40,UW Lieserhofen,0.0,0.61,46.829931,13.477085,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,4.9,1309.7
41,UW Malta Unterstufe,0.0,22.2,46.833286,13.360248,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,5.23,1305.1
42,UW Oberdrauburg,0.0,0.41,46.74183,12.967463,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,5.64,1331.3
43,UW Radenthein,0.0,1.36,46.799072,13.688658,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.19,1315.6
44,UW Rennweg,0.0,0.19,47.02905,13.60402,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,9.82,1359.6
45,UW Rosegg,11.09,0.85,46.567494,14.026762,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.73,1322.3
46,UW Seebach,61.55,1.44,46.617058,13.877428,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.84,1313.1
47,UW Spittal,0.0,4.55,46.789854,13.519832,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,4.9,1309.7
48,UW St. Andrä,0.0,48.31,46.772678,14.837895,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,5.88,1347.1
49,UW St. Leonhard,0.0,39.56,46.970827,14.785865,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,9.84,1329.8
50,UW St. Margareten,0.0,0.0,46.545439,14.396446,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.6,1337.7
51,UW St. Martin,0.0,0.0,46.578495,13.989591,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.73,1322.3
52,UW St.Veit,22.25,2.17,46.760961,14.374472,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.63,1337.8
53,UW Steinfeld,0.0,0.52,46.754038,13.251365,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.36,1300.9
54,UW Treibach,39.74,24.27,46.860791,14.463749,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,8.17,1329.3
55,UW Tröpolach,12.13,0.13,46.61747,13.279204,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.67,1299.0
56,UW Villach-Süd,0.0,0.0,46.555769,13.828311,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.43,1313.3
57,UW Völkermarkt,34.42,6.05,46.660763,14.61938,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,8.0,1341.2
58,UW Vorderberg,0.0,0.0,46.587288,13.533679,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.52,1309.5
59,UW Warmbad,32.1,3.2,46.595498,13.833168,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.43,1313.3
60,UW Wietersdorf,20.22,1.78,46.84161,14.538237,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,8.02,1337.2
61,UW Windischbach,11.11,3.5,46.690004,14.210409,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.39,1333.0
62,UW Wolfsberg,0.0,38.08,46.847584,14.840994,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,6.27,1346.0
63,UW Wölla,0.0,0.0,46.867337,13.073296,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,5.96,1329.7
64,UW Würmlach,0.0,22.76,46.649257,13.071089,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.05,1316.1
65,UW Zirknitz,0.0,88.38,46.995528,12.956976,Kärnten,KNG - Kärnten Netz GmbH,"kommunikation@kaerntennetz.at, +43 505 25 6000",https://kaerntennetz.at/dokumente/Strom/Veroeffentlichung_der_verfuegbaren_Kapazitaeten_gemaess_20_ElWOG.pdf,7.36,1412.8
66,UWK Süd,1.0,29.47,46.60708,14.32099,Kärnten,Energie Klagenfurt GmbH,"hausanschluss@stw.at, +43 (0)463 521 400",https://www.energieklagenfurt.at/stromnetz/oekostromanlagen/,6.6,1337.7
67,UWN Mitte,46.7,0.79,46.63,14.31547,Kärnten,Energie Klagenfurt GmbH,"hausanschluss@stw.at, +43 (0)463 521 400",https://www.energieklagenfurt.at/stromnetz/oekostromanlagen/,6.6,1337.7
68,UWN Nord,33.58,6.8,46.63008,14.31547,Kärnten,Energie Klagenfurt GmbH,"hausanschluss@stw.at, +43 (0)463 521 400",https://www.energieklagenfurt.at/stromnetz/oekostromanlagen/,6.6,1337.7
69,UWO Ost,15.35,14.07,46.63088,14.33551,Kärnten,Energie Klagenfurt GmbH,"hausanschluss@stw.at, +43 (0)463 521 400",https://www.energieklagenfurt.at/stromnetz/oekostromanlagen/,6.6,1337.7
70,UWW West,44.83,2.08,46.61173,14.28073,Kärnten,Energie Klagenfurt GmbH,"hausanschluss@stw.at, +43 (0)463 521 400",https://www.energieklagenfurt.at/stromnetz/oekostromanlagen/,6.6,1337.7
71,UW Am Schuß,5.0,6.0,48.30186082,15.256515,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,18.1,1296.2
72,UW Amstetten,14.0,15.0,48.11168779,14.866594,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,18.49,1295.2
73,UW Amstetten Ost,18.0,14.0,48.11228021,14.909147,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,18.49,1295.2
74,UW Bisamberg,0.0,0.0,48.35563674,16.37651254,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,22.4,1327.3
75,UW Bockfließ,0.0,40.0,48.33826507,16.62572524,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,22.92,1327.2
76,UW Bruck,0.0,7.0,48.03362213,16.767628,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,23.96,1344.6
77,UW Deutsch / Altenburg,0.0,78.0,48.12222895,16.919827,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,23.7,1337.0
78,UW Dürnrohr,0.0,21.0,48.32933941,15.883403,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,17.77,1309.3
79,UW Edlitz,0.0,26.0,47.61092102,16.126665,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,18.2,1314.9
80,UW Eggenburg,0.0,11.0,48.66286731,15.831733,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,19.45,1303.8
81,UW Eibesbrunn,0.0,32.0,48.36102335,16.505301,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,23.06,1326.7
82,UW Eibesbrunn',0.0,37.0,48.36102335,16.505301,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,23.06,1326.7
83,UW Enzersdorf / Fischa,0.0,4.0,48.06483879,16.614917,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,23.42,1344.6
84,UW Erlauf,0.0,25.0,48.18597833,15.180901,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,18.9,1298.1
85,UW Erlaufboden,9.0,5.0,47.87999663,15.266511,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,19.04,1293.0
86,UW Ernsthofen,11.0,9.0,48.12497076,14.475118,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,18.72,1287.7
87,UW Gänserndorf,0.0,16.0,48.34418374,16.713807,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,22.78,1329.7
88,UW Gaweinstal,0.0,34.0,48.47420455,16.56928822,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,23.82,1331.9
89,UW Gerstl,14.0,7.0,47.98855618,14.74124,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,18.59,1292.1
90,UW Gmünd,22.0,41.0,48.76172933,14.988304,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,19.3,1270.8
91,UW Gresten,23.0,8.0,47.99120936,15.023785,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,17.97,1297.2
92,UW Groß Gerungs,0.0,5.0,48.57210137,14.990683,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,20.67,1290.3
93,UW Grubberg,11.0,3.0,47.88699277,15.067891,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,17.29,1276.7
94,UW Haag Süd,26.0,29.0,48.097,14.5791,Niederösterreich,Netz Niederösterreich GmbH,"info@netz-noe.at, +43 (0)2236 201 2070",https://www.netz-noe.at/Netz-Niederosterreich/Service/Okostromanlage-Portal/Erzeugungsanlagen-gro%C3%9Fer-1-MVA-(2).aspx,18.72,1287.7
